NMDO IRI,PROMOT Count,PROMOT IRIs,PROMOT Labels,LLM Scores,Review Note
http://purl.obolibrary.org/obo/HP_0001761,2,http://purl.obolibrary.org/obo/PROMOT_0032032 | http://purl.obolibrary.org/obo/PROMOT_0032028,Endurance of foot muscle | Endurance of extensor digitorum,0.4924 | 0.4269,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003690,2,http://purl.obolibrary.org/obo/PROMOT_0032074 | http://purl.obolibrary.org/obo/PROMOT_0032038,Power of leg muscle | Endurance of leg muscle,0.5584 | 0.5166,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0000467,2,http://purl.obolibrary.org/obo/PROMOT_0032079 | http://purl.obolibrary.org/obo/PROMOT_0032043,Power of neck muscle | Endurance of neck muscle,0.6381 | 0.5947,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/HP_0003749,3,http://purl.obolibrary.org/obo/PROMOT_0032080 | http://purl.obolibrary.org/obo/PROMOT_0032044 | http://purl.obolibrary.org/obo/PROMOT_0032090,Power of pelvic gridle muscle | Endurance of pelvic gridle muscle | Power of thigh musculature,0.6159 | 0.5446 | 0.5426,3 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0010129,2,http://purl.obolibrary.org/obo/PROMOT_0032047 | http://purl.obolibrary.org/obo/PROMOT_0032054,Endurance of quatriceps femoris | Endurance of thigh musculature,0.5143 | 0.4933,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0007277,4,http://purl.obolibrary.org/obo/PROMOT_0032049 | http://purl.obolibrary.org/obo/PROMOT_0032048 | http://purl.obolibrary.org/obo/PROMOT_0032085 | http://purl.obolibrary.org/obo/PROMOT_0032084,Endurance of rhomboid minor | Endurance of rhomboid major | Power of rhomboid minor | Power of rhomboid major,0.5276 | 0.5248 | 0.5208 | 0.5202,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0010884,2,http://purl.obolibrary.org/obo/PROMOT_0032055 | http://purl.obolibrary.org/obo/PROMOT_0032050,Endurance of tibialis anterior | Endurance of serratus anterior,0.5748 | 0.5358,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0014892,2,http://purl.obolibrary.org/obo/PROMOT_0032093 | http://purl.obolibrary.org/obo/PROMOT_0032057,Power of tongue muscle | Endurance of tongue muscle,0.5551 | 0.5348,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0001509,4,http://purl.obolibrary.org/obo/PROMOT_0032095 | http://purl.obolibrary.org/obo/PROMOT_0032059 | http://purl.obolibrary.org/obo/PROMOT_0032094 | http://purl.obolibrary.org/obo/PROMOT_0032083,Power of triceps brachii | Endurance of triceps brachii | Power of trapezius | Power of quatriceps femoris,0.6919 | 0.5749 | 0.5363 | 0.5282,4 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/PATO_0000051,2,http://purl.obolibrary.org/obo/PROMOT_0032062 | http://purl.obolibrary.org/obo/PROMOT_0032075,Power of buccinator | Power of masseter,0.5715 | 0.5518,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
http://purl.obolibrary.org/obo/UBERON_0007271,2,http://purl.obolibrary.org/obo/PROMOT_0032076 | http://purl.obolibrary.org/obo/PROMOT_0032082,Power of a set of masticatory muscles | Power of pterygoid muscle,0.5422 | 0.5075,2 PROMOT classes mapped to same NMDO IRI — verify whether NMDO needs splitting
